minute,anomalias_por_minuto,fallas_tcp_bin,anomalias_log1p,anomalia_lag_1,tcp_lag_1,anomalia_lag_2,tcp_lag_2,anomalia_lag_3,tcp_lag_3,anomalia_lag_5,tcp_lag_5,anomalia_lag_10,tcp_lag_10,anomalia_lag_15,tcp_lag_15,anomalia_lag_30,tcp_lag_30,anomalia_lag_60,tcp_lag_60,anomalia_roll_3,anomalia_roll_5,anomalia_roll_10,anomalia_roll_20,tcp_roll_3,tcp_roll_5,anomalia_diff,tcp_diff
2025-11-29 20:30:00,441,13,6.091309882077698,5.66988092298052,5.0,4.804021044733257,5.0,5.2832037287379885,4.0,4.976733742420574,3.0,7.275864600546533,6.0,6.184148890937483,5.0,3.258096538021482,2.0,3.6109179126442243,0.0,5.521737283263825,5.479498332684937,5.821254126957401,6.154471436392242,7.666666666666667,6.8,0.42142895909717826,8.0
2025-11-29 20:31:00,81,0,4.406719247264253,6.091309882077698,13.0,5.66988092298052,5.0,4.804021044733257,5.0,5.54907608489522,7.0,5.993961427306569,3.0,7.13966033596492,7.0,0.6931471805599453,0.0,4.290459441148391,0.0,5.389303350774156,5.251026965158743,5.662529908953169,6.179206248484047,6.0,5.4,-1.6845906348134445,-13.0
2025-11-29 20:32:00,4,0,1.6094379124341003,4.406719247264253,0.0,6.091309882077698,13.0,5.66988092298052,5.0,5.2832037287379885,4.0,6.091309882077698,0.0,7.9966538754626075,5.0,1.0986122886681098,0.0,5.54907608489522,0.0,4.035822347258684,4.516273801897965,5.214342711988809,6.002888222253239,4.333333333333333,4.6,-2.797281334830153,0.0
2025-11-29 20:33:00,529,0,6.272877006546167,1.6094379124341003,0.0,4.406719247264253,0.0,6.091309882077698,13.0,4.804021044733257,5.0,7.5688956634069955,0.0,7.940939762327791,7.0,4.61512051684126,3.0,4.804021044733257,7.0,4.096344722081507,4.810044994260548,5.084740846302726,6.052371886143648,0.0,3.6,4.663439094112067,0.0
2025-11-29 20:34:00,420,0,6.042632833682381,6.272877006546167,0.0,1.6094379124341003,0.0,4.406719247264253,0.0,5.66988092298052,5.0,6.184148890937483,0.0,7.824445930877619,8.0,2.833213344056216,3.0,4.406719247264253,5.0,4.64164925088755,4.88459537640092,5.070589240577216,6.045296083280893,0.0,2.6,-0.2302441728637863,0.0
2025-11-29 20:35:00,529,0,6.272877006546167,6.042632833682381,0.0,6.272877006546167,0.0,1.6094379124341003,0.0,6.091309882077698,13.0,4.976733742420574,3.0,7.275864600546533,6.0,5.8916442118257715,8.0,1.6094379124341003,0.0,6.196128948924906,4.920908801294614,5.200203566989775,6.049732489061327,0.0,0.0,0.2302441728637863,0.0
2025-11-29 20:36:00,256,1,5.54907608489522,6.272877006546167,0.0,6.042632833682381,0.0,6.272877006546167,0.0,4.406719247264253,0.0,5.54907608489522,7.0,5.993961427306569,3.0,4.976733742420574,3.0,6.272877006546167,1.0,5.954861975041257,5.149380168820807,5.200203566989775,5.970203276507842,0.3333333333333333,0.2,-0.7238009216509473,1.0
2025-11-29 20:37:00,225,0,5.420534999272286,5.54907608489522,1.0,6.272877006546167,0.0,6.042632833682381,0.0,1.6094379124341003,0.0,5.2832037287379885,4.0,6.091309882077698,0.0,5.209486152841421,8.0,5.66988092298052,1.0,5.74749603023789,5.911599586188444,5.2139366940432055,5.841397332698326,0.3333333333333333,0.2,-0.12854108562293387,-1.0
2025-11-29 20:39:00,100,0,4.61512051684126,5.420534999272286,0.0,5.54907608489522,1.0,6.272877006546167,0.0,6.272877006546167,0.0,4.804021044733257,5.0,7.5688956634069955,0.0,3.258096538021482,2.0,3.912023005428146,0.0,5.194910533669589,5.580048288247463,5.195046641254005,5.6751063704239995,0.3333333333333333,0.2,-0.8054144824310265,0.0
2025-11-29 20:40:00,256,0,5.54907608489522,4.61512051684126,0.0,5.420534999272286,0.0,5.54907608489522,1.0,6.042632833682381,0.0,5.66988092298052,5.0,6.184148890937483,0.0,5.993961427306569,10.0,5.54907608489522,0.0,5.194910533669589,5.48133693849003,5.182966157445476,5.5613378781248795,0.0,0.2,0.9339555680539604,0.0
2025-11-29 20:41:00,110,0,4.709530201312334,5.54907608489522,0.0,4.61512051684126,0.0,5.420534999272286,0.0,6.272877006546167,0.0,6.091309882077698,13.0,4.976733742420574,3.0,5.66988092298052,8.0,5.135798437050262,1.0,4.957908934349605,5.168667577443264,5.044788189368939,5.43302115816317,0.0,0.2,-0.8395458835828862,0.0
2025-11-29 20:42:00,484,0,6.184148890937483,4.709530201312334,0.0,5.54907608489522,0.0,4.61512051684126,0.0,5.54907608489522,1.0,4.406719247264253,0.0,5.54907608489522,7.0,3.912023005428146,3.0,6.091309882077698,0.0,5.480918392381679,5.295682138651716,5.222531153736261,5.442530531344715,0.0,0.0,1.4746186896251494,0.0
2025-11-29 20:43:00,441,1,6.091309882077698,6.184148890937483,0.0,4.709530201312334,0.0,5.54907608489522,0.0,5.420534999272286,0.0,1.6094379124341003,0.0,5.2832037287379885,4.0,5.135798437050262,8.0,6.091309882077698,0.0,5.661662991442505,5.429837115212799,5.670718350700622,5.442530531344715,0.3333333333333333,0.2,-0.09283900885978547,1.0
